<br />
<b>Deprecated</b>:  Constant FILTER_SANITIZE_STRING is deprecated in <b>/srv/htdocs/wp-content/plugins/ninja-tables/app/Library/Csv/Config/Output.php</b> on line <b>181</b><br />
"Name of Institution","Type of Resource",Address,"District / City",State,"PIN Code","Contact Number","Alternate Contact Number","Email Address","Website / Social Link","Services Offered","Admission Criteria (if any)","Google Maps Link"
"John Milton Special School for the Blind",School,"NAB Sankul, Plot No. P-66, Lane No. 3, Street A, MIDC, Satpur Colony",Nashik,Maharashtra,422007,0253-2353578,0253-2364378,,,"Vocational training for visually challenged individuals.",,
"Jyotiba Phule Seva Trust, Niwasi Andh Vidyalaya",School,"Plot No.7, Laxmi Narayan Apartment, Shivaji Nagar, Near Aadhar Hospital",Nanded,Maharashtra,431602,02462-235486,9420682630,n.v.gutte@gmail.com,,"Upper Primary Co.Ed. Residential school from Class I to VIII. Services include low vision aids, placement cell, hostels, Braille library, talking book library, sports and cultural activities.","Admission Time: June to July. Fee Structure: Free",
"K. J. SOMAIYA HOSPITAL &amp; Research Centre","Hospital / Eye Bank","Somaiya Ayurvihar Complex, Eastern Express Highway, Sion (East)",Mumbai,Maharashtra,400022,022-24090464,022-24090253,,https://hospital.somaiya.edu/en,"Eye bank and multi-specialty hospital services.",,
"KAMALNAYAN BAJAJ HOSPITAL","Hospital / Eye Bank","Block No.43, Satara Parisar, Bajaj Marg, Beed Bypass Road",Aurangabad,Maharashtra,431005,0240-2377999,,kbh@bajajhospital.com,https://www.bajajhospital.com,"Eye bank and multi-specialty hospital services.",,
"Kamla Mehta Dadar School for the Blind",School,"160, Dadasaheb Phalke Road, Dadar (West)",Mumbai,Maharashtra,400014,022-23083901,,,,"School for blind girls, offering education, Braille instruction, and music training.",,
"KANDIVALI EYE DONATION CENTRE","Eye Bank","02, Govind Gordhan, Popat Niwas Compound, Mathuradas Road, Kandivali (West), Near Lijjat Papad",Mumbai,Maharashtra,400067,022-28630140,9322237323,,,"Eye donation and collection services.",,
"KEM HOSPITAL EYE BANK","Eye Bank","Near Sassoon General Hospital, Rasta Peth",Pune,Maharashtra,411011,020-26128000,020-66037321,,https://www.kemhospitalpune.org/,"Eye bank services, cornea collection and distribution.",,
"King Edward Memorial (KEM) Hospital","Hospital / Eye Bank","Acharya Donde Marg, Parel",Mumbai,Maharashtra,400012,022-24136051,022-24107000,,https://www.kem.edu,"Major public hospital with comprehensive eye care, eye bank, and medical certifications.",,
"LATA MANGESHKAR HOSPITAL","Hospital / Eye Bank","Digdoh Hills, Hingna Road, Near Priyadarshan College, CRPF Gate",Nagpur,Maharashtra,440019,07104-306100,,,https://lmh.nkpsims.in,"Eye bank and multi-specialty hospital services.",,
"Late Gangabai Madhavrao Borade Andha Niwasi",School,"Nilanga Bidar Road, Near Petrol Pump",Latur,Maharashtra,413521,02383-243119,9422576006,,,"Upper Primary Co.Ed. Residential school from Class I to VII. Services include low vision aids, hostels, Braille library, large print library, short-term training, sports and cultural activities.","Admission Time: June. Fee Structure: Free",
"Late Satwaji Patil Kinhalkar Shikshan Prasarak Mandal",NGO,"Savitribai Phule Blind Girl’s Residential workshop, Taroda (Bk)",Nanded,Maharashtra,431605,9423441118,,jagadish270679patil@gmail.com,,"Community-based rehabilitation services, counseling for late-blind persons, self-employment support, Braille library, loans, sports and cultural activities.",,
"LATE SMT. SHANKUNDEVI MEHTA EYE BANK","Eye Bank","Jain Social Group (Dailana) ROOM NO 88 FIRST FLOOR, PIPERMENTWALA ESTATE LBS MARG, BHANDUP (WEST)",Mumbai,Maharashtra,400078,022-25953785,022-25946052,,,"Eye bank services.",,
"Late. Shri Ranglalji Saboo E-learning and Technical Training Centre for the Blind Girls","Vocational Training","Plot No. 1/82,1/76, AS Club Back Side, Nageshwarwadi, Pune Road, MIDC",Aurangabad,Maharashtra,431001,0240-2040049,9860839528,nfbmivtec@gmail.com,https://www.nfbm.org/vocational-training-centre-for-blind-women/,"Vocational training for female trainees (computer, typing, etc.). Support for setting up vocational programs, Braille library, sports and cultural activities.",,
"LAXMI EYE BANK","Eye Bank","Uran Road, Panvel","Navi Mumbai",Maharashtra,410206,022-27454060,022-27453147,eyebank@laxmieye.org,http://www.laxmicharity.org/,"Eye bank services.",,
"LEELAVATI EYE BANK (SEWA ROSHNI EYE BANK)","Eye Bank","Lilavati Hospital &amp; Research Centre, A-791, Bandra Reclamation, Bandra (W)",Mumbai,Maharashtra,400050,022-26751000,9819778703,,https://www.lilavatihospital.com,"Eye bank services within a multi-specialty hospital.",,
"Lions NAB Eye Hospital (Lions Parasmal Kocheta Eye Bank)","Hospital / Eye Bank","P-31, MIDC, Miraj",Sangli,Maharashtra,416410,0233-2644334,0233-2644499,lionsnabeyehospital@rediffmail.com,http://www.lionsnabeyehospital.org/,"Eye bank services, cornea transplantation, comprehensive eye hospital services.",,
"Lokmanya Tilak Municipal General Hospital (Sion Hospital)","Hospital / Eye Bank","Dr. Babasaheb Ambedkar Road, Sion (West)",Mumbai,Maharashtra,400022,022-24076381,022-24063000,deanltmg@dmermumbai.gov.in,http://ltmgh.com/,"Eye bank, comprehensive eye care, multi-specialty hospital and medical college.",,
"LOTUS EYE HOSPITAL","Hospital / Eye Bank","13th North South Road, Juhu",Mumbai,Maharashtra,400049,022-26207352,9819401919,info@lotuseye.org,https://www.lotuseye.org/mumbai-juhu/,"Eye bank services, LASIK, cataract surgery, comprehensive eye care.",,
"Louis Braille Memorial Research Centre","NGO / Other","Rustom Alapiwalla Complex, 124 Cotton Depot, Cotton Green",Mumbai,Maharashtra,400033,022-23726748,,nabin@nabindia.info,https://nabindia.org/,"Research and development of aids and appliances for the visually impaired.",,
"MAB Niwasi Andh Vidhyalya",School,"Sanjay Nagar, Somnathpur Road, Udgir",Latur,Maharashtra,413517,9421379403,,,,"Upper Primary Co.Ed. Residential school from Class I to VII. Services include community-based rehabilitation, Braille library, sports and cultural activities.","Admission Time: June",
"Madhav Netrapedhi","Eye Bank","16, Devdatta, Ranapratap Square, Pratap Nagar",Nagpur,Maharashtra,440022,0712-2222058,9822208381,madhavnetrapedhi@gmail.com,https://www.madhavnetralaya.org/madhav-netra-pedhi,"Eye bank services, cornea collection and distribution for transplantation.",,
"Maharashtra State Handicapped Finance &amp; Development Corp.","Other (Govt. Finance Corp)","R.No. 74, Ground Floor, Griha Nirman Bhavan (MHADA), Bandra (East)",Mumbai,Maharashtra,400051,022-26591620,,mshfdc@rediffmail.com,https://sjsa.maharashtra.gov.in/en/mshfdc,"State financial body providing loans and financial assistance for self-employment and income generation for persons with disabilities.",,
"Mahatma Gandhi Rugnalaya Eye Bank","Eye Bank","468/4, Kumthekar Road, Sadashiv Peth",Pune,Maharashtra,411030,020-24479443,9822664124,,,"Eye bank and medical certifications.",,
"Mahatme Eye Bank &amp; Eye Hospital (Mumbai - Mulund)","Hospital / Eye Bank","102-B Varadlaxmi, Near Jay Ganesh Cinema, Gokhle Road, Mulund (East)",Mumbai,Maharashtra,400081,022-21637055,9320108028,,https://www.mahatmehospital.com/,"Eye bank services, comprehensive eye care hospital.",,
"Mahatme Eye Bank &amp; Eye Hospital (Nagpur - Chhatrapati Sq)","Hospital / Eye Bank","16, Central Excise Colony, Ring Road, Chhatrapati Square",Nagpur,Maharashtra,440015,0712-2234345,9371023447,appt.nagpur@mahatme.com,https://www.mahatmehospital.com/,"Eye bank and comprehensive eye hospital services.",,
"Mahatme Eye Bank &amp; Eye Hospital (Nagpur - Somalwada)","Hospital / Eye Bank","Chintaman Nagar, Somalwada",Nagpur,Maharashtra,440025,0712-2289101,0712-2289102,,https://www.mahatmehospital.com/,"Eye bank services, comprehensive eye care hospital.",,
"Mahinda Vidyalaya",School,Chaprasipura,Amravati,Maharashtra,444602,9604685189,,mahind.vidyalaya@yahoo.com,,"Secondary Co.Ed. Residential school (I-X), CBR, counseling, eye clinics, hostels, libraries, sports.","Admission Time: July",
"Malvia Nagar Boys Hostel","Other (Hostel)","Malviya Nagar, Near Police Station, Badlapur (West)",Thane,Maharashtra,421503,0251-2665182,,,,"Hostel facilities for boys.",,
"MANGILALJI BAFNA EYE BANK &amp; EYE HOSPITAL","Hospital / Eye Bank","Near Ashwini Medico, Opp. Bhaskar Market",Jalgaon,Maharashtra,425001,9579484480,,mangilalbafna.eyebank@gmail.com,,"Eye bank and hospital services.",,
"Manohar Education Society Sanchalit Nivasi Andh Vidyalaya",School,"Aakhadabalapur, Taluka Kalamnuri",Hingoli,Maharashtra,431701,9011410227,,,,"Upper Primary Co.Ed. Residential school from class I to VIII. Provides community-based rehabilitation, sports and cultural activities.","Admission Time: June",
"Manohar Education Society Vocational Training Centre","Vocational Training","Niwasi Andh Kalyan Prashikshan Punarvarsan Kendra, Swami Samarth Kendra, Deglur",Nanded,Maharashtra,431717,9403355825,,,,"Vocational training for males (e.g., computer training), CBR, career counseling, placement services, Braille library, loans, sports.",,
"Matoshri Gangadevi Deoda Niwasi Andh Mulanchi Shala",School,"MIDC Road, Aundha Road",Hingoli,Maharashtra,431513,02456-248027,9421461457,bhaleraonandakishor1@gmail.com,,"Upper Primary Co.Ed. Residential school from Class I to VIII. Provides Braille library, sports and cultural activities.","Admission Time: June",
"MATRUSHREE GOMTIBEN RATANSHI CHEDA SAHIYARA EYE BANK","Eye Bank","305-B Manas Residency, Teen Petrol Pump, L.B.S Road, Thane (West)",Thane,Maharashtra,400602,022-25341941,9320611919,sahiyaraeyebank@gmail.com,https://www.sahiyaraeyebank.com/,"Eye bank services, promoting eye donation.",,
"MNB Industrial Home for the Blind","Vocational Training","Chateau Dieu, 280, Swami Vivekanand Road, Jogeshwari (W)",Mumbai,Maharashtra,400102,022-26791487,,mnbhome280@rediffmail.com,,"Rehabilitation services, vocational training, placement cell, self-employment support, Braille library, loans, and cultural activities.",,
"Moonlight Womens Education Welfare Society","School / NGO","216 MHB Colony, Hazar Kholi, Malegaon",Nashik,Maharashtra,423203,02554-234871,9860163087,fairoz_jamal@yahoo.com,,"Upper Primary Co.Ed. Residential school (I-VIII), CBR, counseling, vocational training, self-employment support, libraries, and cultural activities.","Admission: June-July. Fee: Free",
"Mulund K.V.O. Samaj Eye Donation Centre","Eye Bank / NGO","1/2, Dedhia Apartments, Ganesh Gawade Road, Mulund (West)",Mumbai,Maharashtra,400080,022-25915577,9320455777,galabakul@gmail.com,,"Eye donation coordination and awareness services.",,
"Muskan Foundation for People with Multiple Disabilities",NGO,"B-102, First Floor, Rizvi Chambers, Hill Road, Bandra (West)",Mumbai,Maharashtra,400050,022-26432644,,info@muskanfoundation.org.in,https://muskanfoundation.org.in/,"Support for individuals with multiple disabilities including visual impairment, therapy, vocational training, and inclusive education.",,
"N.S.D. Industrial Home For The Blind","Vocational Training","K-1/64, Cotton Avenue, Cotton Green",Mumbai,Maharashtra,400033,022-23725731,,the_nsd_ind_1917@yahoo.co.in,,"Vocational training for males (e.g., motor rewinding, tailoring, carpentry), CBR, medical services, hostel, Braille library, and sports activities.",,
"NAB - Department of Rehabilitation","Vocational Training / NGO","C/O King George V Memorial, Dr. E. Moses Rd, Mahalaxmi",Mumbai,Maharashtra,400011,022-24942795,,nabdor@hotmail.com,https://nabindia.org/,"Vocational training (acupressure, physiotherapy), Braille press, CBR, low vision aids, counseling, placement services, extensive library services, and cultural activities.",,
"NAB - IDBI Polytechnic","Vocational Training","Plot No. A-52/53, Additional MIDC, Anand Nagar, Ambernath (East)",Thane,Maharashtra,421506,0251-2620759,,nabidbi@yahoo.com,https://nabindia.org/,"Vocational training for males (e.g., General Machine Operator, ITC). Provides training for employment, group placements, hostels, and a Braille library.",,
"NAB - Mata Lachmi Nursery For The Blind",School,"218, East Sion Road, Sion (East)",Mumbai,Maharashtra,400022,022-24095170,,arjunadvani12@gmail.com,https://nabindia.org/,"Elementary Co.Ed. School for visually impaired children. Sports and cultural activities.",,
"NAB Pradnyachakshu Niwasi Andh Vidyalaya, Beed",School,"Back of Sambhaji Nagar, Back of Police Line, Jalana Road",Beed,Maharashtra,431122,9403041547,,,,"Upper Primary Co.Ed. Residential school from Class I to VIII. Provides aid, appliances, sports, and cultural activities.","Admission Time: June. Fee Structure: Free",
"NAB Sanchalit Niwasi Andh Karyashala &amp; Vidyalaya","School / Vocational Training","Ratandip Housing Society, Vikasnagar, Near Civil Lines",Solapur,Maharashtra,413003,0217-2740600,9822803318,nab_sur@yahoo.com,,"Residential School (Pre-School to Class XII) and Vocational Training (duster, candle, chalk making). Also provides CBR, counseling, placement, medical services, and libraries.","Admission Time: June. Fee Structure: Free",
"NAB Workshop For The Blind","Vocational Training","Dr. Annie Besant Road, Opposite Old Passport Office, Worli",Mumbai,Maharashtra,400030,022-24304347,,blindworks@rediffmail.com,https://nabindia.org/,"Vocational training in stenography, telephone operation, lathe operation, acupressure, etc. Provides career counseling, placement, hostels, and library services.",,
"NAB, Aurangabad District Branch",NGO,"Plot No.200, Guru Prasad Netralay, Samarth Nagar, Near Kranti Chowk Police Station",Aurangabad,Maharashtra,431001,0240-2332450,,dr_smdsh@rediffmail.com,,"Provides services such as a Braille library and distribution of Braille appliances.",,
"NAB, Jalna District Branch",NGO,"1-12-143, Subash Road, PB No. 86, Near Bus Stand",Jalna,Maharashtra,431203,02482-230029,9423044567,,,"Provides advisory services and support for local organizations and individuals.",,
"NAB, Nagpur District Branch",NGO,"5, Temple Road, Near Science College, Civil Lines",Nagpur,Maharashtra,440001,0712-2527316,9850364855,,,"Provides community-based rehabilitation services and support.",,
"NAB, Satara Vocational Training Centre","Vocational Training","c/o Lions NAB Netra Hospital, 313/7 K, Radhika Road",Satara,Maharashtra,415001,02162-231419,9860476452,nab.satara@gmail.com,,"Vocational training (candle making, chalk making), CBR, counseling, placement, employment loans, medical clinics, and short-term training programs.",,
"NANDADEEP EYE HOSPITAL","Hospital / Eye Bank","107, Dattawad Renaissance, 1st Floor, 334-E Ward, Shahupuri",Kolhapur,Maharashtra,416001,0231-2668819,7588084999,nandadeepkolhapur@gmail.com,http://nandadeepeyehospital.org,"Eye bank and comprehensive eye hospital services.",,
"National Association for the Blind (NAB), India HQ","NGO / School / Other","11-12, Khan Abdul Gaffar Khan Road, Worli Seaface",Mumbai,Maharashtra,400030,022-24935370,022-24983716,nabin@nabindia.info,https://nabindia.org/,"National headquarters. Comprehensive services including K-12 school, Braille press, CBR, low vision aids, counseling, placement, libraries, vocational training, and advocacy.","Admission Time: June",
"National Association for the Blind (NAB), Nashik Branch","School / NGO / Vocational Training","NAB Sankul, Plot No. P-66, A-Road, Lane No. 3, Street A, MIDC, Satpur",Nashik,Maharashtra,422007,0253-2353578,9822027002,nabnashik_nsk@sancharnet.in,http://nabunitmaharashtra.org/,"Residential School for Girls (Nursery-X), Hostel, CBR, vocational training, counseling, placement, medical clinics, and library services.","Girls hostel and education up to 18 years. Admission: June. Fee: Free.",https://maps.app.goo.gl/LSnhaAQvt9F3rgwx6
"National Association for the Blind, Amravati Branch",NGO,"Chatrapati Khidaki, Valgaon Road",Amravati,Maharashtra,444601,0721-2576335,9422855140,,,"Provides community-based rehabilitation services, counseling, loans, and coordinates volunteers.",,
"National Association for the Blind, Dhule Branch","NGO / Vocational Training","Dhule Zilla Sangh, Navgrahi, Lane No-2, Near Pavsakar Printing Press",Dhule,Maharashtra,424001,02562-229324,9823097280,axychajed@gmail.com,,"Provides placement cell services, self-employment support, and loans.",,
"National Association for the Blind, Jalgaon Branch",NGO,"82/83 Central Phule Market, 1st Floor (East Wing)",Jalgaon,Maharashtra,425001,0257-2220563,9422277260,mpj@gmail.com,,"Provides CBR, income generation consultancy, career counseling, placement services, library services, and loans.",,
"National Association for the Blind, Kolhapur Branch","Vocational Training","730, E Vinayak Apartment, Ground Floor, Block No. 1, Lane No. 3, Shahupuri",Kolhapur,Maharashtra,416001,0231-2656623,,nbdongare202@yahoo.com,,"Vocational training (candle making, broom making), CBR, counseling, placement cell, Braille library, and loans.",,
"National Association for the Blind, Latur Branch","School / NGO","Ground Floor, Dev Towers, Front of Tahsildar Karyalay",Latur,Maharashtra,413512,02382-255354,9423775942,ltr_kalpkala@bsnl.in,,"Senior Secondary Co.Ed. School (XI-XII), CBR, low vision aids, vocational training consultancy, placement cell, and library services.","Admission Time: June",
"National Association for the Blind, Miraj Branch","School / NGO","A-2, Ramvijay Apartment, Jubilee Girls College, Brahmanpuri",Miraj,Maharashtra,416410,0233-2223225,9420787774,,,"Secondary Co.Ed. Residential school (I-X), CBR, counseling, Braille library, readers/writers services, sports and cultural activities.","Admission Time: June",
"National Association for the Blind, Sindhudurg Branch",NGO,"Kazi Shahabuddin Hall, At Post Sawantwadi, Beside Prant Office",Sindhudurg,Maharashtra,416510,02363-272083,9422434300,,,"Provides guidance and support to local organizations and individuals.",,
"National Career Service Centre for Differently Abled","Vocational Training / Other","ATI Campus, V.N. Purav Marg, Sion",Mumbai,Maharashtra,400022,022-24052707,,vrcmumbai@nic.in,https://ncs.gov.in/,"Government center providing vocational training (book binding, chair caning, electronics) and advisory services for the differently abled.",,
"National Institute of Ophthalmology (NIO)","Hospital / Eye Bank","1187/30, Off Ghole Road, Near Phule Museum, Shivaji Nagar",Pune,Maharashtra,411005,020-41460100,020-25536369,administrator@nioeyes.com,https://www.nioeyes.com/,"Super specialty eye hospital with an eye bank and medical certifications.",,
"National Society for the Prevention of Blindness (NSPB) Maharashtra State Branch",NGO,"Dr. D.B. Kulkarni Eye Centre, BDD Chawl, A-17/18, M.J. Phule Road, Naigaon",Mumbai,Maharashtra,400014,022-24131661,,,,"State branch providing counseling, eye clinics, and medical certifications.",,
"Navjivan Blind/ Handicap Training Centre","Vocational Training","Sajnagar (Kondhwa), Galli No- 8, Survey No. 60, Sukh Sagar Nagar",Pune,Maharashtra,411048,9765724605,,admin@handicapcenterpune.org.in,http://handicapcenterpune.org.in/,"Vocational training (chalk making, candle making), CBR, placement cell, hostels, and short-term training programs.",,
"Navneet Hospital - Smt. Mishribai Gulabchand Toshniwal Eye Bank","Hospital / Eye Bank","165/1, Railway Lines",Solapur,Maharashtra,413001,0217-2310345,8956970132,aktrustsolapur@gmail.com,http://www.aktrust.org/,"Eye bank and hospital services.",,
"NAVNIT SHAH EYE BANK","Eye Bank","Victor Villa, Ground Floor, Babulnath Road, Chowpatty",Mumbai,Maharashtra,400007,022-23671011,022-23619234,,,"Eye bank services.",,
"NETRA SANJIVANI HOSPITAL","Hospital / Eye Bank","Dasara Chowk",Kolhapur,Maharashtra,416003,0231-2642864,,,,"Eye bank and hospital services.",,
"NETRADHAM TRUST","Eye Bank / NGO","Netradham Padamshree Prabhakar Charitable Trust, Near St. Ann School, Jalna Road",Beed,Maharashtra,431122,02442-224364,9403577622,,,"Eye bank and charitable trust services.",,
"Nivasi Blind School, Pandharpur",School,"Near Nagar Parishad, Pandharpur",Solapur,Maharashtra,413304,02186-225970,9881654520,,,"Upper Primary Co.Ed. Residential school (I-VII). Provides CBR, hostels, Braille library, sports, and cultural activities.","Admission Time: June",
"NOBLE HOSPITAL EYE BANK","Hospital / Eye Bank","153, Magarpatta City Road, Hadapsar",Pune,Maharashtra,411013,020-66285100,8007006611,info@noblehospitalspune.com,https://www.noblehospitalspune.com/,"Eye bank and multi-specialty hospital services.",,
"P. D. Hinduja Hospital Eye Bank","Hospital / Eye Bank","P. D. Hinduja Hospital And Medical Research Centre, Veer Savarkar Marg, Mahim",Mumbai,Maharashtra,400016,022-24449199,022-24447185,info@hindujahospital.com,https://www.hindujahospital.com,"Eye bank, comprehensive eye care, cornea transplantation services.",,
"P. D. Hinduja National Hospital &amp; Medical Research Centre","Hospital / Eye Bank","Veer Savarkar Marg, Mahim West, Near Bombay Scottish School",Mumbai,Maharashtra,400016,022-24449199,022-24452222,info@hindujahospital.com,https://www.hindujahospital.com,"Comprehensive eye care, cornea transplantation services, eye hospital and medical certifications.",,
"Patashibai Manav Kalyan Trust's School for the Blind",School,"Bhosari MIDC (Pune-Nashik Highway), Near Jai Ganesh Samrajya",Pune,Maharashtra,411026,020-27123235,9881819757,prmkt.blindschool@gmail.com,,"Secondary Co.Ed. Residential school (I-X). Provides CBR, low vision aids, medical services, hostels, library, and sports.","Admission: June-August. Fee: Free.",
"Poona School and Home for the Blind",School,"14-17, Dr. S. R. Machave Road, Koregaon Park",Pune,Maharashtra,411001,020-26155627,,poonablindschool@gmail.com,https://puneblindschool.org/,"Primary &amp; secondary education (Braille-based), hostel facilities, vocational training.",,
"Pradnya Shikshan Prasarak Mandal Sanchalit Andh Karyashala","Vocational Training","Aakhadabalapur, Taluka Kalamnuri",Hingoli,Maharashtra,431701,9527968559,,,,"Vocational training (chalk making, tailoring, handloom). Provides CBR, vocational program setup, and sports.",,
"Pragati Andh Vidyalaya","School / Other (Hostel)","Near Police Station, Badlapur Gaon, Badlapur (West), Taluka Ambernath",Thane,Maharashtra,421503,0251-2665182,7218211408,pavbadlapur@yahoo.com,,"Secondary Co.Ed. Residential school (I-X) and hostel. Provides aid/appliances, vocational training consultancy, library, and sports.","Admission Time: June",https://maps.app.goo.gl/YQdQik2nEVyzmQU96
"Pragya Chakshu Niwasi Andh Vidhyalaya",School,"Back Side of Sambhaji Nagar, Near Police Headquarters",Beed,Maharashtra,431122,02442-229580,9822293641,,,"Upper Primary Co.Ed. Residential school (I-VIII). Provides low vision aids, counseling, readers, and sports.","Admission: June-July. Fee: Free.",
"Pragya Niketan Shikshan Sanstha","Vocational Training","Ramji Subhedar Nagar, Bhokar Road, Nanded",Nanded,Maharashtra,431601,9881693804,,,,"Vocational training (chalk making, candle making, caning). Also provides consultancy for vocational programs and sports activities.",,
"Prerna Nivasi Blind Vidhylaya",School,Ghodapeth,Chandrapur,Maharashtra,442401,07172-226345,9860253721,,,"Upper Primary Co.Ed. Residential school (I-VII). Provides CBR, Braille library, print books, and sports.",,
"Pune Blind Men's Association (PBMA)","NGO / Vocational Training","109, Dr. Helen Keller Road, Ramtekdi, Hadapsar",Pune,Maharashtra,411013,020-26822760,,admin@pbmaindia.org,https://www.pbmaindia.org/,"Provides computer training, skill development, mobility training, and other rehabilitation services.",,
"Punyashlok Ahilyabai Holkar Bahuuddeshiya Vidya Prasarak Mandal","Vocational Training","Ukha Gotu Garde Niwasi Andh Karyashala, 172/Laxmi Narayan Nagar, Sakri Road",Dhule,Maharashtra,424001,02562-288863,9158484523,,,"CBR, vocational training setup, counseling, self-employment support, and libraries (Braille/talking book).",,
"RAJAWADI HOSPITAL, MUMBAI","Hospital / Eye Bank","Rajawadi Hospital, Mahatma Gandhi Road, Ghatkopar (East)",Mumbai,Maharashtra,400077,022-25115066,,,,"Eye bank and municipal hospital services.",,
"Rajiv Gandhi NAB Blind School",School,"Hotgi Road, Ratnadeep Housing Society, Behind Vikas Nagar, Civil Lines",Solapur,Maharashtra,413003,0217-2740600,9422066099,nab_sur@yahoo.com,,"Provides CBR, barrier-free design consultancy, career counseling, placement, Braille library, and sports.",,
"Rashtrasant Tukdoji Maharaj Andha Vidyalay",School,"Nagpur Road, Malwadi",Wardha,Maharashtra,442001,9326062009,,,,"Upper Primary Co.Ed. Residential school (I-VIII). Provides CBR, low vision aids, Braille library, and sports.","Admission Time: July",
"Rashtriya Drishtihin Shikshan &amp; Punarvasan Sanstha",School,"c/o Smt. Anjanabai Dhote, ITI, LIG Colony, Ring Road, Manewada",Nagpur,Maharashtra,440027,07104-285497,9423603630,rdsps_ngp@yahoo.in,http://www.rdsps.org/,"Upper Primary Co.Ed. Residential school (I-VIII). Provides CBR, low vision aids, hostels, and Braille library.","Admission: April-July",
"Rashtriya Sahakari Shikshan Prasarak Mandal","School / Vocational Training","Andh Niwasi Vidhyalya, Bhadgaon Road, Near LIC Office, Taluka Chalisgaon",Jalgaon,Maharashtra,424101,02589-223426,9270658583,,,"Upper Primary Co.Ed. Residential school (I-VIII) and vocational training. Provides CBR, placement, self-employment support, and libraries.","Admission: June-July. Fee: Free.",
"Residential School for the Blind, Nandurbar",School,"Dhamdod, PO Umarde Khurde, Taluka &amp; District Nandurbar",Nandurbar,Maharashtra,425412,02564-240371,9823249114,info@blindschoolndb.org,http://blindschoolndb.org/,"Upper Primary Co.Ed. Residential school (Nursery-VIII). Provides CBR, accessibility consultancy, Braille library, and sports.",,
"Retina India",NGO,"Registered Office: Ridhi Sidhi Bhawan, 2nd Floor, 2/12, Babu Genu Road",Mumbai,Maharashtra,400002,022-22052308,,info@retinaindia.org,https://www.retinaindia.org/,"A support and advocacy group for patients with retinal degenerative diseases like Retinitis Pigmentosa. Not an eye bank.",,
"Rotary Club of Bombay",NGO,"97-B, Mittal Towers, B Wing, 9th Floor, Nariman Point",Mumbai,Maharashtra,400021,022-22024509,,rcbombay1@gmail.com,https://www.rotaryclubofbombay.org/,"A service organization supporting various community projects, including eye camps and eye donation awareness. Not an eye bank itself.",,
"Ruby Hall Clinic",Hospital,"40, Sassoon Road",Pune,Maharashtra,411001,020-66455100,020-26163391,info@rubyhall.com,https://www.rubyhall.com/,"Multi-specialty hospital with a comprehensive ophthalmology department. May have eye donation facilities.",,
"S.V.M. School for the Blind",School,"Dr. Annie Besant Road, Worli",Mumbai,Maharashtra,400030,022-24304347,,,,"School for the blind. (The listed services are unrelated university courses).",,
"SAHIYARA EYE BANK","Eye Bank","305-B, Manas Residency, Teen Petrol Pump, L.B.S. Road, Thane (West)",Thane,Maharashtra,400602,022-25341941,,sahiyaraeyebank@gmail.com,https://www.sahiyaraeyebank.com/,"Eye bank services.",,
"SAIFEE HOSPITAL","Hospital / Eye Bank","15/17, Maharshi Karve Marg",Mumbai,Maharashtra,400004,022-67570111,,write@saifeehospital.com,https://www.saifeehospital.com/,"Eye bank and multi-specialty hospital.",,
"Samaj Prabodhan Sevabhavi Sanstha Sanchalit Andh Vidyalaya",School,"Taluka Sakri",Dhule,Maharashtra,424304,8308562420,9049696497,,,"Upper Primary Co.Ed. Residential school (I-VIII). Provides CBR, counseling, Braille library, and sports.","Admission Time: June",
"Sandhi Niketan Shikshan Sanstha",School,"Village Wadgaon, Post Mukhed",Nanded,Maharashtra,431715,9423306800,,,,"Upper Primary Co.Ed. Residential school (I-VIII). Provides CBR, Braille library, and sports.","Admission Time: June",
"Sane Guruji Shikshan Prasarak Mandal",School,"c/o K.J. Mehta High School, Baragaon Pimpri, Taluka Sinnar",Nashik,Maharashtra,422103,02551-271221,9270133609,,,"Secondary Co.Ed. School (IX-X). Provides CBR, counseling, Braille library, and sports.","Admission Time: June. Fee: Free.",
"Sant Kabir Andh Nivasi Vidyalaya",School,"Galib Nagar",Osmanabad,Maharashtra,413501,9145293650,,,,"Upper Primary Co.Ed. Residential school (I-VII). Provides low vision aids, consultancy, counseling, placement, libraries, and vocational support.","Admission: June-July. Fee: Free.",
"Saraswati Niwas Blind Vidyalaya","NGO / Other","Vadasa (Desaiganj)",Gadchiroli,Maharashtra,441207,07137-242178,,,,"Provides community-based rehabilitation services.",,
"Sassoon General Hospital - Nayampalli Eye Bank","Hospital / Eye Bank","Jai Prakash Narayan Road, Near Pune Station",Pune,Maharashtra,411001,020-26128000,,,https://www.bjmcpune.org/,"Eye bank services within a major government hospital and medical college.",,
"Satya Sai Eye Bank","Eye Bank","2nd Floor, Patkar Building, Opp. Canara Bank, Patkar Road, Dombivli (East)",Thane,Maharashtra,421201,0251-2861447,,,,"Eye bank services.",,
"School for Blind Boys, Dhule",School,"Ward No. 22, Ganpati Road, Santoshi Mata Chowk",Dhule,Maharashtra,424001,02562-236215,9422773629,,,"Upper Primary residential school for boys (I-VIII). Provides CBR, barrier-free design consultancy, counseling, and libraries.","Admission: June-July",
